State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
LA,Avoyelles Parish,495.7,Overall,Overall,31.082706,-91.996995,9
AL,Covington County,495.6,Overall,Overall,31.249891,-86.449316,19
AR,Chicot County,495.3,Overall,Overall,33.272855,-91.28902,20
MS,Harrison County,495.2,Overall,Overall,30.516744,-89.108234,20
NV,Nye County,494.5,Overall,Overall,38.040213,-116.466844,0
MI,Wayne County,494.4,Overall,Overall,42.289576,-83.290093,20
OK,Bryan County,494.2,Overall,Overall,33.970294,-96.256601,20
AL,Barbour County,493.8,Overall,Overall,31.875526,-85.392733,16
KY,Grant County,493.6,Overall,Overall,38.649944,-84.631049,20
TN,Warren County,493.4,Overall,Overall,35.683635,-85.770957,20
OK,Okmulgee County,493.3,Overall,Overall,35.6526,-95.959083,20
FL,Union County,493.2,Overall,Overall,30.043108,-82.371977,20
TN,Henderson County,492.8,Overall,Overall,35.659915,-88.384178,20
AR,Phillips County,492.5,Overall,Overall,34.439248,-90.842116,20
TN,Henry County,492.5,Overall,Overall,36.333396,-88.298705,19
MS,Newton County,492.2,Overall,Overall,32.40595,-89.117357,13
TN,Jackson County,491.9,Overall,Overall,36.361859,-85.668131,20
IN,Starke County,491.7,Overall,Overall,41.28396,-86.652614,20
MO,St. Clair County,491.5,Overall,Overall,38.037294,-93.782961,9
MS,Sharkey County,491.5,Overall,Overall,32.887801,-90.80878,6
AR,Calhoun County,491.3,Overall,Overall,33.561422,-92.495443,12
OK,Adair County,491.0,Overall,Overall,35.89329,-94.654915,20
AL,Cherokee County,490.8,Overall,Overall,34.175592,-85.60109,20
TN,Stewart County,490.6,Overall,Overall,36.50538,-87.835176,12
MS,Perry County,490.2,Overall,Overall,31.177474,-88.981895,20
MI,Ogemaw County,489.7,Overall,Overall,44.339118,-84.13134,14
IN,Miami County,489.5,Overall,Overall,40.784655,-86.045448,20
NC,Bladen County,489.5,Overall,Overall,34.608631,-78.557235,20
MO,New Madrid County,489.1,Overall,Overall,36.597498,-89.651176,20
MS,Noxubee County,489.0,Overall,Overall,33.112365,-88.567888,6
MO,Barry County,488.8,Overall,Overall,36.703984,-93.836923,20
SC,Cherokee County,488.4,Overall,Overall,35.045202,-81.616624,20
AL,Greene County,488.2,Overall,Overall,32.861522,-87.9517,7
GA,Wilkinson County,488.1,Overall,Overall,32.7983,-83.172803,20
LA,Union Parish,488.1,Overall,Overall,32.836345,-92.369282,20
KY,Mason County,487.5,Overall,Overall,38.595071,-83.829306,20
AR,Clay County,487.4,Overall,Overall,36.364666,-90.41053,20
KY,McCreary County,487.1,Overall,Overall,36.739916,-84.493904,20
MO,Madison County,486.8,Overall,Overall,37.477119,-90.350376,20
LA,Washington Parish,486.6,Overall,Overall,30.85523,-90.037532,20
AR,Polk County,486.3,Overall,Overall,34.488379,-94.220924,17
TX,Nolan County,486.3,Overall,Overall,32.303967,-100.410557,14
TX,Jim Wells County,486.3,Overall,Overall,27.731824,-98.095607,20
