,County,State,Hospital Count
515,Churchill County,NV,1
516,Ciales Municipio,PR,1
517,Cibola County,NM,3
518,Cidra Municipio,PR,20
519,Cimarron County,OK,1
520,Citrus County,FL,2
521,Clackamas County,OR,20
522,Claiborne County,MS,2
523,Claiborne County,TN,1
524,Claiborne Parish,LA,1
525,Clallam County,WA,13
526,Clare County,MI,3
527,Clarendon County,SC,1
528,Clarion County,PA,4
529,Clark County,AR,3
530,Clark County,ID,1
531,Clark County,IL,20
532,Clark County,IN,1
533,Clark County,KS,2
534,Clark County,KY,1
535,Clark County,MO,6
536,Clark County,NV,20
537,Clark County,OH,20
538,Clark County,SD,3
539,Clark County,WA,20
540,Clark County,WI,12
541,Clarke County,AL,9
542,Clarke County,GA,20
543,Clarke County,IA,1
544,Clarke County,MS,1
545,Clarke County,VA,20
546,Clatsop County,OR,2
547,Clay County,AL,1
548,Clay County,AR,1
549,Clay County,FL,7
550,Clay County,GA,2
551,Clay County,IA,1
552,Clay County,IL,1
553,Clay County,IN,1
554,Clay County,KS,1
555,Clay County,KY,1
556,Clay County,MN,20
557,Clay County,MO,10
558,Clay County,MS,1
559,Clay County,NC,17
560,Clay County,NE,20
561,Clay County,SD,9
562,Clay County,TN,1
563,Clay County,TX,1
564,Clay County,WV,5
565,Clayton County,GA,15
566,Clayton County,IA,4
567,Clear Creek County,CO,16
568,Clearfield County,PA,17
569,Clearwater County,ID,4
570,Clearwater County,MN,6
571,Cleburne County,AL,20
572,Cleburne County,AR,9
573,Cleveland County,NC,3
574,Cleveland County,OK,20
575,Clinch County,GA,1
576,Clinton County,IA,1
577,Clinton County,IL,15
578,Clinton County,IN,1
579,Clinton County,KY,1
580,Clinton County,MI,20
581,Clinton County,MO,11
582,Clinton County,NY,16
583,Clinton County,OH,1
584,Clinton County,PA,13
585,Cloud County,KS,1
586,Coal County,OK,1
587,Coamo Municipio,PR,20
588,Cobb County,GA,20
589,Cochise County,AZ,20
590,Cochran County,TX,1
591,Cocke County,TN,1
592,Coconino County,AZ,20
593,Codington County,SD,2
594,Coffee County,AL,14
595,Coffee County,GA,1
596,Coffee County,TN,15
597,Coffey County,KS,1
598,Coke County,TX,3
599,Colbert County,AL,4
600,Cole County,MO,19
601,Coleman County,TX,1
602,Coles County,IL,8
603,Colfax County,NE,5
604,Colleton County,SC,1
605,Collier County,FL,20
606,Collin County,TX,20
